LIBID,Year,LibraryName,Address,City,ZIP,MailingAddress,MailingCity,MailingZIP,County,Phone,DistCoop,CentralLibrary,Branches,Bookmobiles,RegisteredUsers,RegisteredUsersAdded,LibrariansALAMLS,LibrariansTotal,OtherStaff,Volunteers,VolunteerHours,FriendsGroup,Foundation,StaffPositionsFT,StaffPositionsPTUnder20,StaffPositionsPTOver20,StaffPositionsTempOnCall,RevenueCity,RevenueCounty,RevenueDistrict,RevenueState,RevenueLSTA,RevenueErate,RevenueOtherFed,RevenueOtherOperating,CaptialRevenueLocal,CapitalRevenueState,CapitalRevenueFed,CapitalRevenueOther,ExpendituresSalariesWages,ExpendituresBenefits,ExpendituresPrintMaterials,ExpendituresPeriodicals,ExpendituresElectronicMaterials,ExpendituresOtherMaterials,ExpendituresOtherOperating,ExpendituresServiceCharges,CapitalExpendituresConstruction,CapitalExpendituresEquipment,CapitalExpendituresOther,CollectionBooks,CollectionBooksAdded,CollectionPhysicalAudio,CollectionPhysicalAudioAdded,CollectionVideosPhysical,CollectionVideosPhysicalAdded,CollectionOtherMaterials,CollectionOtherMaterialsAdded,CollectionEbooksODLC,CollectionEbooksODLCAdded,CollectionEbooksLocal,CollectionEbooksLocalAdded,CollectionAudiobooksODLC,CollectionAudiobooksODLCAdded,CollectionAudiobooksLocal,CollectionAudiobooksLocalAdded,CollectionDigitalVideosODLC,CollectionDigitalVideosODLCAdded,CollectionDigitalVideosLocal,CollectionDigitalVideosLocalAdded,CollectionPhysicalSpanish,CollectionDigitalSpanish,CollectionOtherLanguages,CollectionDatabasesLocal,CollectionDatabasesLocalAdded,CollectionStatewideDatabases,CollectionStatewideDatabasesAdded,DatabaseUsageStatewide,DatabaseUsageLocal,CircAdult,CircAdultRenewals,CircYA,CircYARenewals,CircChildrens,CircChildrensRenewals,CircOtherMaterials,CircOtherMaterialsRenewals,CircNoAgeCategory,CircNoAgeCategoryRenewals,CircODLC,CircEcontentLocal,CircNetworkLoans,CircILLLoans,CircNetworkBorrows,CircILLBorrows,CircNonresidents,ReferenceTransactions,ReferenceTransactionsMethod,MeetingRoomUse,ProgramsSummerReading,ProgramsKids0-11,ProgramsKids0-11Attendance,ProgramsKids0-5,ProgramsKids0-5Attendance,ProgramsKids6-11,ProgramsKids6-11Attendance,ProgramsYA12-18,ProgramsYA12-18Attendance,ProgramsAdults,ProgramsAdultsAttendance,ProgramsGeneralInterest,ProgramsGeneralInterestAttendance,ProgramsInPersonOnsite,ProgramsInPersonOnsiteAttendance,ProgramsInPersonOffsite,ProgramsInPersonOffsiteAttendance,ProgramsVirtual,ProgramsVirtualAttendance,ProgramsRecorded,ProgramsRecordedViews,ProgramsSelfDirected,ProgramsSelfDirectedParticipants,TechPublicComputersSessions,TechPublicComputersMethod,TechPublicComputers,TechWiFiScenario,TechWiFiSessions,TechWiFiSessionsMethod,TechDownloadSpeed,TechUploadSpeed,TechSharedILS,TechILSProductName,TechWebsiteVisits,HoursWeekday,HoursWeekdayEvening,HoursWeekend,HoursWeekendEvening,WeeksOpenYear,HoursOpenYear,LibraryVisits,LibraryVisitsMethod,FacilitiesSqFtCentral,FacilitiesSqFtTotal,FacilitiesConstructionDate,FacilitiesRemodelDate,FinesAdultMaterials,FinesChildrensMaterials,FinesYAMaterials,FeesILL,FeesNonresident,SalaryDirectorHourlyLow,SalaryDirectorHourlyHigh,SalarySupervisoryLibHourlyLow,SalarySupervisoryLibHourlyHigh,SalaryLibrarianHourlyLow,SalaryLibrarianHourlyHigh,SalaryLibAssistHourlyLow,SalaryLibAssistHourlyHigh,SalaryLibClerkHourlyLow,SalaryLibClerkHourlyHigh,PopulationServed,InterlibraryRelationshipCode,LegalBasisCode,AdminStructureCode,PLSCPubLibDefinition,GeographicCode,Website
OR0138,2022,Banks Public Library,42461 NW Market St,Banks,97106,42461 NW Market St,Banks,97106,Washington,503-324-1382,WCCLS,1,0,0,2442,244,0,3,1.14,14,268,TRUE,FALSE,3,1,2,0,120884,238853,0,1000,0,,0,7672,0,0,0,0,199709,95181,11593,,851,0,75554,Administration; Facilities; Human Resources; Legal; Finance; other,0,0,0,23918,1483,1377,43,3018,202,115,6,0,0,129861,36035,0,0,73701,14132,,,28865,2841,186,10263,Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Japanese; Korean; other,16,1,22,0,70,2106,16824,12147,1513,1564,13689,10578,112,132,5,1,,20217,76371,296,42868,162,2168,1752,Estimate,13,TRUE,,,67,697,49,1071,7,42,18,163,2,34,108,1037,35,957,1,7,1,,807,143,452,Actual count,4,Wi-Fi extends outside building (left on through evening hours after library closes),1971,Actual count,96.75,87.22,WCCLS,Polaris,38655,35,3,7,0,52,2348,18022,Actual count,3900,3900,,2017,No,No,No,0,140,26.6,35.99,20.7,28.01,17.92,24.25,15.32,20.73,14.17,19.17,6474,ME,CI,SO,TRUE,PL2,https://www.wccls.org/
OR0080,2022,Beaverton City Library,12375 SW 5th St,Beaverton,97005,12375 SW 5th St,Beaverton,97005,Washington,503-644-2197,WCCLS,1,1,0,113092,8799,21.75,21.75,49.38,29,11200,TRUE,TRUE,44,40,0,23,5655401,6365505,0,15696,0,,0,82039,0,0,0,0,4512830,2819505,336406,,6449,93334,1181992,,0,0,0,265813,26703,20511,762,37768,2894,3142,3212,0,0,10,0,0,0,0,0,,,28865,2841,7399,10263,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Japanese; Korean; Russian; Somali; Tagalog; Thai, Lao; Ukrainian; Vietnamese; other",0,0,22,0,1597,62493,396251,334703,52270,57334,568993,569981,11820,14793,173,164,0,607057,425516,1098,873820,4001,165928,36153,Actual count,0,TRUE,,,798,17358,369,12100,68,1271,224,3213,50,3780,368,10681,665,16962,476,10079,149,6370,71,7460,35625,Actual count,44,Wi-Fi extends outside building (left on 24/7),62705,Actual count,30.79,83.67,WCCLS,Polaris,291548,35,8,11,2,52,2815,395610,Actual count,67000,79000,,,No,No,No,as charged by other library / OCLC cost,140,60.56,81.15,30.36,40.68,26.05,34.92,21.17,28.36,18.72,25.08,147352,ME,CI,MO,TRUE,PL2,https://www.beavertonlibrary.org/
OR0108,2022,Brownsville Community Library,146 Spaulding Ave,Brownsville,97327,PO Box 68,Brownsville,97327,Linn,541-466-5454,NONE,1,0,0,236,70,0,0.9,0.1,34,1511,TRUE,FALSE,0,1,1,0,105888,0,0,2046,0,,2390,2390,0,0,0,0,48727,37196,7251,,0,1554,13870,,0,0,0,19710,468,289,41,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,0,22,0,0,0,7700,0,2380,0,3443,0,853,0,0,0,0,0,0,0,0,0,0,835,Estimate,0,TRUE,,,131,1550,0,0,0,0,70,330,0,0,0,0,0,0,0,0,0,0,144,144,366,Actual count,2,Wi-Fi extends outside building (left on through evening hours after library closes),n/a,N/A (we don't track Wi-Fi usage),143.9,54.8,NONE,Follett,0,25,2,4,0,49,1568,6961,Actual count,2400,2400,,1978,Yes,Yes,Yes,4,20,25.15,26.63,,,,,12.67,13.5,,,1705,NO,CI,SO,TRUE,PL1,www.brownsvillecommunitylibrary.org
OR9011,2022,C. Giles Hunt Memorial Library,210 E Central Ave,Sutherlin,97479,210 E Central Ave,Sutherlin,97479,Douglas,541-459-9161,NONE,1,0,0,3094,379,0,0.5,0.33,40,5178,TRUE,TRUE,0,2,0,0,28650,0,0,1039,0,,0,19627,0,0,0,0,28650,2579,5538,,4700,1237,6889,,0,0,0,28311,1409,1042,23,1641,207,0,0,56416,8403,0,0,35057,3841,0,0,,,0,0,112,15,,0,0,22,0,0,0,7480,895,307,17,2165,121,19,0,0,0,5637,0,691,0,391,0,3084,0,N/A (we do not track reference transactions),100,TRUE,,,35,325,12,80,0,0,10,120,0,0,4,65,6,95,6,235,10,1244,25,35,,N/A (we don't track computer usage),10,Wi-Fi extends outside building (left on through evening hours after library closes),n/a,N/A (we don't track Wi-Fi usage),74.44,48.69,NONE,Biblionix,25677,24,0,6,0,52,1280,7123,Actual count,10500,10500,,2007,Yes,Yes,Yes,as charged by other library / OCLC cost,,21,21,,,,,17,18,,,8909,NO,CI,SO,TRUE,PL1,https://www.sutherlinlibrary.org/
OR0110,2022,Canby Public Library,220 NE 2nd Ave,Canby,97013,220 NE 2nd Ave,Canby,97013,Clackamas,503-266-3394,LINCC,1,0,0,9003,1037,3,3,6.03,15,351,TRUE,TRUE,6,3,1,11,172409,0,1055558,3905,0,,0,31627,0,0,0,0,569569,303212,77959,,19238,4977,136606,Administration; Facilities; Human Resources; Information Technology; Legal; Finance,0,0,0,46613,5947,3528,206,10482,838,125,13,56416,8403,9794,3349,35057,3841,6879,2347,,,0,0,4597,3529,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Ilocano, Samoan or Hawaiian; Japanese; Korean; Russian; Somali; Swahili; Thai, Lao; Ukrainian; Vietnamese; other",4,0,22,0,261,8444,72463,30656,6339,4326,49075,25269,151,4,0,0,22878,9949,86639,251,84726,169,103886,8982,Actual count,506,TRUE,,,9,167,0,0,11,54,11,210,0,0,1,100,4,382,0,0,0,0,53,2620,4407,Actual count,22,Wi-Fi extends outside building (left on 24/7),10333,Actual count,201.11,118.12,LINCC,SirsiDynix,128053,34,4,6,0,52,2254,62204,Actual count,23500,23500,,2016,Yes,Yes,Yes,as charged by other library / OCLC cost,95,46.06,61.17,32.89,43.68,28.4,36.62,21.66,27.92,13.5,16.5,25329,ME,CI,SO,TRUE,PL2,www.canbylibrary.org
OR0128,2022,Cedar Mill Community Library,1080 NW Saltzman Rd,Portland,97229,1080 NW Saltzman Rd,Portland,97229,Washington,503-617-7323,WCCLS,1,1,0,53889,4584,17.23,17.23,39.31,230,14763,FALSE,FALSE,32,31,8,4,0,4712804,0,0,56204,,0,352532,0,0,0,12364,3125541,780079,294844,,32006,94456,881721,,0,12364,0,182644,23136,13669,1033,26365,2770,5246,855,0,0,129977,36035,0,0,73701,14132,,,28865,2841,3030,10263,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Ilocano, Samoan or Hawaiian; Japanese; Korean; Russian; Somali; Swahili; Tagalog; Thai, Lao; Ukrainian; Vietnamese; other",16,1,22,0,855,24563,330972,275601,44939,51078,574273,273196,22684,22185,279,267,1,405969,390354,9092,843609,3007,133447,22524,Estimate,0,TRUE,,,52,1377,46,718,43,772,68,1148,13,550,52,2631,663,24504,122,1432,55,5046,59,6723,9031,Actual count,12,Wi-Fi extends outside building (left on through evening hours after library closes),26335,Actual count,89.5,67.5,WCCLS,Polaris,255136,35,12,12,0,52,2830,350505,Actual count,24368,30509,,2001,No,No,No,as charged by other library / OCLC cost,140,50,67.09,35.09,45,27,35.09,18.9,27.15,16.55,22.97,80787,ME,NP,MO,TRUE,MP2,https://library.cedarmill.org/
OR0107,2022,Chetco Community Public Library,405 Alder St,Brookings,97415,405 Alder St,Brookings,97415,Curry,541-469-7738,NONE,1,0,0,9098,551,2,2,7.25,40,3245,TRUE,TRUE,5,4,4,1,0,0,829893,2144,,,0,68323,0,0,0,0,392733,214721,46055,,21452,5272,199186,,1200128,29857,25356,37468,2965,1928,42,3898,240,57,18,56416,8403,694868,0,35057,3841,174563,0,,,25330,0,123,77922,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Ilocano, Samoan or Hawaiian; Japanese; Korean; Russian; Swahili; Tagalog; Thai, Lao; Ukrainian; other",2,0,22,0,47,8447,36901,20424,1263,844,12662,8212,0,0,0,0,12845,0,5797,47,21021,57,3547,0,N/A (we do not track reference transactions),37,TRUE,,,8,384,12,299,7,25,48,576,3,81,50,1144,8,108,29,207,10,671,22,7471,3547,Actual count,4,Wi-Fi extends outside building (left on through evening hours after library closes),n/a,N/A (we don't track Wi-Fi usage),285.77,732.18,Coastline,Koha,7764,35,5,7,1,52,2552,36912,Estimate,17574,17574,,2022,No,No,No,2,60,,,,,,,,,13,17.1,14566,ME,LD,SO,TRUE,OTH,http://chetcolibrary.org/
OR0129,2022,Clackamas County - Oak Lodge Public Library,16201 SE Mcloughlin Blvd,Oak Grove,97267,16201 SE Mcloughlin Blvd,Oak Grove,97267,Clackamas,503-655-8543,LINCC,1,0,0,7216,673,2.7,2.7,4.05,0,0,TRUE,FALSE,9,0,0,10,0,0,4446110,4815,0,,0,1135147,0,0,0,0,510094,270316,60463,,33662,10317,328119,,154149,0,0,46715,3525,3559,114,3185,290,398,21,56416,8403,9794,3349,35057,3841,6879,2347,,,0,0,374,3529,,4,0,22,0,327,10570,77094,36738,3394,2874,25471,17274,351,10,0,0,18529,7038,65947,223,86300,470,62177,2775,Actual count,0,TRUE,,,47,253,0,0,0,0,8,102,0,0,55,355,0,0,0,0,0,0,15,600,4323,Actual count,9,Wi-Fi extends outside building (left on through evening hours after library closes),1091,Actual count,929.87,945.86,LINCC,SirsiDynix,101191,31,11,14,2,52,2912,54999,Actual count,8722,8722,,,Yes,Yes,Yes,as charged by other library / OCLC cost,95,47.68,64.37,,,43.35,36.57,20,25.17,14.89,18.23,31707,ME,LD,SO,TRUE,PL2,https://www.clackamas.us/lib
OR0112,2022,Clatskanie Library District,11 Lillich St,Clatskanie,97016,PO Box 577,Clatskanie,97016,Columbia,503-728-3732,NONE,1,0,0,4325,197,1,1,2.25,7,325,TRUE,FALSE,1,2,1,2,0,0,250250,1195,10408,,13000,33689,0,0,0,0,94543,38399,21165,,4237,0,79045,,0,19426,0,10582,2021,214,31,644,60,0,0,56416,8403,0,0,35057,3841,0,0,,,0,0,80,0,,0,0,22,0,15,0,,,,,,,,,11006,1951,3013,0,0,0,0,114,866,0,N/A (we do not track reference transactions),0,TRUE,,,47,552,5,79,17,170,6,38,1,87,75,829,1,87,3,36,1,25,1180,1250,,N/A (we don't track computer usage),4,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),46.3,50.6,NONE,Biblionix,12545,35,2,7,0,52,2340,,N/A (we do not track library visits),2500,2500,,1986,No,No,No,4,,27.95,27.95,0,0,0,0,14.94,18.16,0,0,6214,NO,LD,SO,TRUE,OTH,https://www.clatskanielibrary.org/
OR0114,2022,Coos Bay Public Library,525 Anderson Ave,Coos Bay,97420,525 Anderson Ave,Coos Bay,97420,Coos,541-269-1101,CCLSD,1,0,0,,,4.8,5.8,6.9,32,1795,TRUE,TRUE,12,2,0,0,0,0,1355482,2374,0,,0,15192,0,0,0,0,623907,339264,54541,,21875,22700,527584,,0,0,0,85280,3879,12348,418,12734,762,621,71,56416,8403,695684,243539,35057,3841,173685,64806,,,61381,21183,724,660,French; German; Japanese; Korean; other,11,1,22,0,122,57050,78163,53287,3620,2399,24951,16195,414,296,0,0,22006,9446,45007,552,3879,485,89942,11020,Actual count,345,TRUE,,,51,1201,5,236,60,384,18,318,39,2900,127,3103,37,2260,132,2306,49,2071,26,1892,7088,Actual count,18,Wi-Fi extends outside building (left on 24/7),111737,Actual count,124,398,Coastline,Koha,291115,30,5,2,1,51,1938,61446,Actual count,25872,25872,,1984,No,No,No,as charged by other library / OCLC cost,100,,,,,,,,,,,28817,ME,CI,SO,TRUE,PL2,www.coosbaylibrary.org
OR0116,2022,Coquille Public Library,105 N Birch St,Coquille,97423,105 N Birch St,Coquille,97423,Coos,541-396-2166,CCLSD,1,0,0,,,1,1,4.45,1,8,TRUE,TRUE,3,1,6,0,0,347815,0,1000,0,,0,0,550000,0,0,0,269920,105015,20000,,0,0,125150,,0,0,0,27632,1278,1622,38,3189,76,74,2,56416,8403,12921,1131,35057,3841,4911,103,,,60,0,16,160,Chinese (including Mandarin & Cantonese); French; German; Japanese; Russian; other,5,0,22,0,34,218,24075,13723,2675,1673,4431,2697,218,146,0,0,6404,1501,9147,311,11362,230,23665,0,N/A (we do not track reference transactions),0,TRUE,,,72,1703,111,4943,10,73,15,67,20,867,0,0,228,7653,0,0,6,629,1,50,2220,Actual count,6,Wi-Fi extends outside building (left on 24/7),37937,Actual count,244.87,35.6,Coastline,Koha,1048,35,5,5,0,52,2340,30608,Actual count,2900,2900,,1953,No,No,No,0,100,34.61,,19.62,22.71,12,12.4,12,12,12,12,4710,ME,CI,SO,TRUE,PL2,https://coquillepubliclibrary.org/
OR0118,2022,Cornelius Public Library,1370 N Adair St,Cornelius,97113,1355 N Barlow St,Cornelius,97113,Washington,503-357-4093,WCCLS,1,0,0,6386,861,3.75,3.75,3.4,78,1715,TRUE,TRUE,6,1,3,1,577654,573587,0,0,0,,0,0,0,0,50534,0,641696,271542,74066,,1393,20567,146847,Facilities,0,50534,0,32468,4292,2112,287,5965,301,362,68,0,0,129867,36035,0,0,73701,14132,,,28865,2841,8507,10263,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Japanese; Korean; Russian; Somali; Swahili; Tagalog; Thai, Lao; Ukrainian; Vietnamese; other",16,1,22,0,221,4766,24166,16481,2965,2991,25547,22024,1059,1080,10,3,0,24413,69565,125,47804,375,829,3133,Estimate,1733,TRUE,,,72,526,20,289,16,69,254,895,11,301,373,2080,1,70,22,197,0,0,23,1455,4806,Actual count,99,Wi-Fi extends outside building (left on through evening hours after library closes),13986,Actual count,94,73,WCCLS,Polaris,0,35,11,14,2,52,3063,69386,Actual count,13650,13650,,2019,No,No,No,as charged by other library / OCLC cost,140,52.06,59.81,37.59,43.18,0,0,24.68,30.34,14.62,17.98,15865,ME,CI,SO,TRUE,PL2,https://www.ci.cornelius.or.us/library
OR0119,2022,Corvallis-Benton County Public Library,645 NW Monroe Ave,Corvallis,97330,645 NW Monroe Ave,Corvallis,97330,Benton,541-766-6793,NONE,1,3,1,50848,5824,14.63,14.63,30.63,258,43,TRUE,TRUE,27,30,0,36,4385833,0,3281394,10791,5000,,0,198946,0,0,0,773750,3117273,1876803,363662,,366194,139552,1910591,Administration; Facilities; Human Resources; Information Technology; Legal; Finance; other,854643,107890,0,240168,25237,25220,417,33427,1161,328,80,56416,8403,10723,1684,35057,3841,5244,976,,,29741,2958,8183,8726,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Japanese; Korean; Thai, Lao; Ukrainian",24,0,22,0,865,149589,412440,144105,33203,12514,342527,104991,,,0,0,122018,134857,0,0,0,0,37187,13910,Estimate,69,TRUE,,,0,0,241,8295,21,222,96,3774,0,0,196,5736,440,14755,162,6555,33,1295,45,5497,,N/A (we don't track computer usage),59,Wi-Fi extends outside building (left on through evening hours after library closes),326786,Actual count,150,2.5,NONE,The Library Corporation (TLC),409650,40,8,12,1,52,3084,282990,Actual count,58270,75220,,2021,No,No,No,We don't offer ILL at our library,120,57.61,77.29,38.26,51.34,31.26,39.76,24.97,31.74,20.79,26.4,84654,NO,CC,MO,TRUE,CO2,https://cbcpubliclibrary.net/
OR0120,2022,Cottage Grove Public Library,700 E Gibbs Ave,Cottage Grove,97424,700 E Gibbs Ave,Cottage Grove,97424,Lane,541-942-3828,NONE,1,0,0,1677,284,1,1,3,2,34,TRUE,FALSE,3,2,0,0,410920,0,0,1229,,,0,0,0,0,0,0,154879,76842,21637,,580,742,0,,0,2403,0,36157,1838,1791,0,3767,60,109,33,56416,8403,260,45,35057,3841,404,79,,,0,0,515,165,,0,0,22,0,37,0,9761,857,686,87,5210,334,64,11,21,2,9601,10900,489,0,448,0,138,1524,Actual count,57,TRUE,,,40,69,37,72,13,6,38,166,6,252,151,487,1,85,0,0,0,0,3,160,1014,Actual count,7,Wi-Fi extends outside building (left on through evening hours after library closes),n/a,N/A (we don't track Wi-Fi usage),90.54,92.69,Lane Council of Libraries,SirsiDynix,,33,7,6,0,26,1280,11058,Actual count,8500,8500,,,Yes,Yes,Yes,We don't offer ILL at our library,55,33.58,43.07,,,,,19.53,24.93,,,10792,ME,CI,SO,TRUE,PL1,https://www.cottagegrove.org/library
OR0065,2022,Crook County Library,175 NW Meadow Lakes Dr,Prineville,97754,175 NW Meadow Lakes Dr,Prineville,97754,Crook,541-447-7978,NONE,1,0,0,6599,1093,4,6,4.65,14,153,TRUE,FALSE,9,3,0,0,0,1897870,0,8354,6000,,0,35000,0,0,0,0,443315,202932,59508,,50081,10375,483522,Administration; Facilities; Human Resources; Information Technology; Legal; Finance; other,0,0,0,43067,4520,3371,140,3534,587,37,5,0,0,720743,666261,0,0,208967,189351,,,25289,25289,712,517,,7,3,22,0,102,2735,,,,,,,,,73723,7242,,41958,34704,50,10785,321,0,1427,Actual count,825,TRUE,,,17,307,7,152,28,247,12,69,1,87,64,775,37,1205,7,13,0,0,57,2051,2946,Actual count,9,Wi-Fi extends outside building (left on 24/7),4800,Estimate,786.4,729.7,Deschutes,Innovative Interfaces,25602,40,5,6,0,52,2550,66902,Actual count,17430,17430,,2009,No,No,No,0,85,,,,,,,,,,,25482,NO,CO,SO,TRUE,CO1,www.crooklib.org
OR0012,2022,Curry Public Library District,94341 3rd St,Gold Beach,97444,94341 3rd St,Gold Beach,97444,Curry,541-247-7246,NONE,1,0,0,4703,241,1,1,6.5,5,328,TRUE,TRUE,4,4,3,4,0,0,503518,0,7131,,164213,41235,0,0,0,25000,337456,74071,20657,,9308,2753,169741,,0,47625,36506,38243,1177,2173,51,3561,89,20,1,56416,8403,0,0,35057,3841,0,0,,,29405,29405,144,3297,Chinese (including Mandarin & Cantonese); French; German; Hindi; Japanese; Russian; other,2,0,22,0,30,20,29454,16055,819,521,6805,4458,,,167,105,8595,378,6179,97,5574,57,0,3830,Actual count,133,TRUE,,,100,2000,11,175,225,1400,140,1400,14,245,265,3820,250,1500,0,0,0,0,30,300,12714,Actual count,8,Wi-Fi extends outside building (left on through evening hours after library closes),24000,Estimate,200,35,Coastline,Koha,16674,35,8,12,0,52,2800,85787,Actual count,14800,14800,,2018,No,No,No,2.5,60,33.18,33.18,0,0,16,22.41,14,20,12.5,14,5221,ME,LD,SO,TRUE,OTH,https://www.currypubliclibrary.org/
OR0121,2022,Dallas Public Library,950 Main St,Dallas,97338,950 Main St,Dallas,97338,Polk,503-623-2633,CCRLS,1,0,0,6211,591,0,1,5.67,29,852,TRUE,FALSE,5,3,1,0,478302,0,109698,2917,1800,,0,13271,9000,0,0,0,316033,165912,52321,,0,10184,39557,Information Technology,0,0,9000,63525,4374,4953,207,7313,300,578,21,56416,8403,0,0,35057,3841,916,0,,,0,0,408,0,,8,0,22,0,24,2691,55540,37447,5105,5281,45111,36007,4388,1323,121,81,23988,771,21041,96,21518,3,57012,2641,Actual count,40,TRUE,,,89,1688,26,2123,22,192,34,934,4,97,175,4543,9,491,0,0,0,0,8,620,2139,Actual count,11,Wi-Fi extends outside building (only available during open hours),3629,Actual count,50.8,49.3,CCRLS,SirsiDynix,14750,35,2,4,0,52,2052,68227,Actual count,8440,8440,,1990,No,No,No,return postage,60,32.84,46.71,19.05,25.06,16.93,22.29,13.11,18.55,13.54,17.85,17320,ME,CI,SO,TRUE,PL1,https://www.ci.dallas.or.us/102/Library
OR0091,2022,Deschutes Public Library District,507 NW Wall St,Bend,97703,507 NW Wall St,Bend,97703,Deschutes,541-312-1021,NONE,0,6,0,90475,12257,16.8,16.8,94.2,149,9047,FALSE,FALSE,71,36,0,0,0,0,15250212,36795,0,,0,491273,12136327,0,0,213118,5765398,2661804,717792,,1124008,304762,2588392,,5990861,351785,0,243323,41915,9158,1091,23064,3157,291,103,0,0,752555,257658,0,0,204780,69950,,,89516,24476,7609,440712,,32,3,22,0,4074,1187801,455123,147449,24671,10764,479967,130545,2477,121,0,0,,1022590,19359,1220,64231,872,5060,27822,Estimate,3492,TRUE,,,164,5118,89,5447,40,2951,414,4007,28,7078,449,8025,178,12023,192,4132,193,35861,0,0,50022,Actual count,168,Wi-Fi extends outside building (left on through evening hours after library closes),349232,Actual count,2000,2000,Deschutes,Innovative Interfaces,4361601,40,13,16,2,52,3692,608875,Actual count,0,92653,,2005,No,No,No,as charged by other library / OCLC cost,200,70.01,70.01,30.31,50.76,27.67,38.3,18.9,26.16,15.62,21.62,203390,NO,LD,MA,TRUE,CO1,www.deschuteslibrary.org
OR0048,2022,Dora Public Library,56125 Goldbrick Rd,Myrtle Point,97458,56125 Goldbrick Rd,Myrtle Point,97458,Coos,541-572-6009,CCLSD,1,0,0,,,0,0.62,0.45,7,250,TRUE,FALSE,0,1,3,0,0,0,67788,1000,0,,0,3716,0,0,0,0,38758,3397,7232,,0,2889,13312,,0,0,0,12559,533,1299,71,1787,113,123,1,56416,8403,12921,1131,35057,3841,4911,103,,,60,0,76,160,,5,1,22,0,4,23,3032,2946,149,128,165,144,38,14,,,690,162,5465,173,1808,24,5497,,N/A (we do not track reference transactions),,TRUE,,,,,,,,,15,65,,,15,65,3,723,,,,,15,393,226,Estimate,4,Wi-Fi extends outside building (left on 24/7),24316,Estimate,363.83,309.85,Coastline,Koha,4052,12,10,4,0,26,1272,5960,Actual count,2420,2420,,2009,No,No,No,0,100,15,21.84,,,,,12,12.4,,,963,ME,NP,SO,TRUE,OTH,https://dorapubliclibrary.org/
OR0034,2022,Driftwood Public Library,801 SW Hwy 101 #201,Lincoln City,97367,801 SW Hwy 101 #201,Lincoln City,97367,Lincoln,541-996-2277,LCLD,1,0,0,16014,764,3,3,7,27,2359,TRUE,TRUE,7,3,1,0,719724,0,272052,1272,0,,0,3379,0,0,0,0,503726,253686,86507,,9415,13200,267699,Facilities; Human Resources; Information Technology,0,0,0,83630,6648,5136,296,9796,790,61,27,56416,8403,761,122,35057,3841,516,28,,,0,0,1959,207,Chinese (including Mandarin & Cantonese); French,1,0,22,0,75,83,44499,15972,1954,1353,13529,4791,388,0,0,0,13143,1435,27566,675,14400,201,24304,6030,Actual count,5,TRUE,,,46,437,0,0,4,19,21,170,2,39,59,587,2,39,12,39,8,911,,,4237,Actual count,7,Wi-Fi extends outside building (left on through evening hours after library closes),n/a,N/A (we don't track Wi-Fi usage),103.7,430.5,Oceanbooks,Innovative Interfaces,99445,7,11,11,1,52,1974,46915,Actual count,23500,23500,,2009,No,No,No,as charged by other library / OCLC cost,50,45.67,54.32,31.21,39.84,29.74,37.94,17.06,23.95,13,15,16340,ME,CI,SO,TRUE,PL2,https://www.driftwoodlib.org/
OR0123,2022,Dufur School/community Library,802 NE Fifth St,Dufur,97021,802 NE Fifth St,Dufur,97021,Wasco,541-467-2588,WCLSD,1,0,0,567,74,0,0,0,0,0,FALSE,FALSE,1,0,1,0,2803,10618,51658,3750,0,,0,0,0,0,0,0,32529,9804,98131,,0,1950,1690,,0,0,0,14000,478,85,0,799,0,155,0,56416,8403,0,0,35057,3841,0,0,,,0,0,37,0,,0,0,22,0,0,0,757,77,43,24,5218,251,0,0,374,17,0,0,243,0,117,0,0,300,Estimate,0,TRUE,,,50,392,792,5204,38,228,0,0,0,0,136,3400,0,0,0,0,0,0,4,22,120,Actual count,6,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),1000,1000,Sage,Evergreen,275,39,4,0,0,50,1716,12800,Estimate,3600,3600,,1981,No,No,No,0,,,,16.38,19.5,,,,,12.75,13,2027,ME,SD,SO,TRUE,SU1,https://www.wascocountylibrary.com/dufur-library
